timestamp,session_id,turn_id,turn_number,user_text,has_image,last_pid_context,effective_query,query_type,keyword_hits,sideflex_kw,straight_kw,query_series,image_search,vit_top_score,vit_series,vit_dominant,vit_hits_count,siglip_hits_count,graph_triggered_by,graph_candidates_added,graph_contributed,graph_seed_products,graph_compatible,graph_same_series,text_skipped,text_skip_reason,text_hits_count,total_candidates,top1_pid,top1_final_score,top1_ce_score,top1_series,reranked_pids,clarification,tool_calls,tool_names,ai_reply_length,ai_reply_preview,latency_ms,eval_top1_series_ok,eval_sideflex_ok,eval_straight_ok,eval_ref_in_reply,eval_graph_contrib,eval_clarif_ok,eval_vit_series_ok,error
2026-03-02T16:19:07.057,sess_161907_0f329d,sess_161907_0f329d_t001,1,ต้องการโซ่สำหรับ curved conveyor layout ขนส่ง PET bottle ขนาดเล็ก turning radius ประมาณ 500 mm,False,,ต้องการโซ่สำหรับ curved conveyor layout ขนส่ง PET bottle ขนาดเล็ก turning radius ประมาณ 500 mm,general,7,True,False,,False,,,False,0,0,none,0,False,,,,False,,0,15,movex_chain_LFN_83_MFM,1.1471,3.2232,83 MFM PRO Series,movex_chain_LFN_83_MFM|movex_chain_LFN_103_MFH|movex_chain_LF880_TAB_K325|movex_chain_LF882_TAB_K1200|movex_chain_LF820_K325,False,0,,564,สวัสดีครับ! เพื่อให้ผมแนะนำโซ่ที่เหมาะสมที่สุดสำหรับ curved conveyor layout สำหรับขนส่งขวด PET ขนาดเ,25410.5,False,False,False,False,False,False,False,
2026-03-02T16:20:05.427,sess_161907_0f329d,sess_161907_0f329d_t002,2,ต้องการความกว้าง82.5 มม.,False,movex_chain_LFN_83_MFM movex_chain_LFN_103_MFH movex_chain_LF880_TAB_K325,movex_chain_LFN_83_MFM movex_chain_LFN_103_MFH movex_chain_LF880_TAB_K325 ต้องการความกว้าง82.5 มม.,general,0,False,False,,False,,,False,0,0,none,0,False,,,,False,,0,6,movex_chain_LFN_83_MFM,0.8692,2.57,83 MFM PRO Series,movex_chain_LFN_83_MFM|movex_chain_LF880_TAB_K325|movex_chain_LFN_103_MFH|movex_chain_LF880_TAB_K450|movex_chain_LF882_TAB_K1000,False,0,,1417,จากข้อมูลที่ให้มาสำหรับโซ่สำหรับ curved conveyor layout สำหรับขนส่งขวด PET ขนาดเล็ก ที่ความกว้าง 82.,6230.6,False,False,False,False,False,False,False,
2026-03-02T16:21:28.858,sess_162128_f6f1fb,sess_162128_f6f1fb_t001,1,ต้องการโซ่สำหรับ curved conveyor layout ขนส่ง PET bottle ขนาดเล็ก turning radius ประมาณ 500 mm,False,,ต้องการโซ่สำหรับ curved conveyor layout ขนส่ง PET bottle ขนาดเล็ก turning radius ประมาณ 500 mm,general,7,True,False,,False,,,False,0,0,none,0,False,,,,False,,0,15,movex_chain_LFN_83_MFM,1.1471,3.2232,83 MFM PRO Series,movex_chain_LFN_83_MFM|movex_chain_LFN_103_MFH|movex_chain_LF880_TAB_K325|movex_chain_LF882_TAB_K1200|movex_chain_LF820_K325,False,0,,999,สำหรับโซ่ที่ใช้กับ curved conveyor layout สำหรับขนส่ง PET bottle ขนาดเล็ก โดยมี turning radius ประมา,9305.5,False,False,False,True,False,False,False,
2026-03-02T16:21:54.783,sess_162154_206da8,sess_162154_206da8_t001,1,ต้องการโซ่สำหรับ curved conveyor layout ขนส่ง PET bottle ขนาดเล็ก turning radius ประมาณ 500 mm,False,,ต้องการโซ่สำหรับ curved conveyor layout ขนส่ง PET bottle ขนาดเล็ก turning radius ประมาณ 500 mm,general,7,True,False,,False,,,False,0,0,none,0,False,,,,False,,0,15,movex_chain_LFN_83_MFM,1.1471,3.2232,83 MFM PRO Series,movex_chain_LFN_83_MFM|movex_chain_LFN_103_MFH|movex_chain_LF880_TAB_K325|movex_chain_LF882_TAB_K1200|movex_chain_LF820_K325,False,0,,1012,สำหรับโซ่ที่ใช้ใน curved conveyor layout เพื่อขนส่งขวด PET ขนาดเล็ก และต้องการรัศมีโค้งประมาณ 500 มม,18831.1,False,False,False,True,False,False,False,
2026-03-02T16:26:39.129,sess_162639_cc1d11,sess_162639_cc1d11_t001,1,อยากทราบความแตกต่างระหว่าง LF 820 K325 กับ LF 821 K750 ใช้งานแบบไหนต่างกัน และโหลดสูงสุดต่างกันเท่าไหร่?,False,,อยากทราบความแตกต่างระหว่าง LF 820 K325 กับ LF 821 K750 ใช้งานแบบไหนต่างกัน และโหลดสูงสุดต่างกันเท่าไหร่?,general,0,False,False,820|821,False,,,False,0,0,none,0,False,,,,False,,0,9,movex_chain_LF821_K750,0.9299,1.8476,821 Series,movex_chain_LF821_K750|movex_chain_LF820_K750|movex_chain_LF820_K325|movex_chain_LF820_K400|movex_chain_LF821_K1000,False,1,compare_specific_products,1039,"สวัสดีครับ ยินดีครับที่จะช่วยอธิบายความแตกต่างระหว่างสายพานทั้งสองรุ่นนี้นะครับ

**สำหรับสายพาน Move",7728.2,True,False,False,True,False,False,False,
2026-03-02T16:27:45.376,sess_162745_b77577,sess_162745_b77577_t001,1,กำลังใช้ chain 880 series ต้องการ sprocket สำหรับ sideflexing Bore = 25 mm มีอะไรบ้าง?,False,,กำลังใช้ chain 880 series ต้องการ sprocket สำหรับ sideflexing Bore = 25 mm มีอะไรบ้าง?,general,2,True,False,880,False,,,False,0,0,none,0,False,,,,False,,0,8,movex_sprocket_54901,0.7003,10.4148,880 Series,movex_sprocket_54901|movex_sprocket_55001|movex_sprocket_54401|movex_sprocket_55601|movex_chain_LF880_TAB_K450,False,0,,767,สำหรับ Sprocket Sideflexing Series 880 ที่มี Bore ขนาด 25 มม. นะครับ ทาง Movex มี 2 รุ่นแนะนำดังนี้ค,6738.6,True,True,False,True,False,False,False,
2026-03-02T16:28:59.412,sess_162859_e002f7,sess_162859_e002f7_t001,1,มีโซ่สายพานที่รับแรงดึงสูงสุดในแค็ตตาล็อกเท่าไหร่ และเป็นรุ่นอะไร?,False,,มีโซ่สายพานที่รับแรงดึงสูงสุดในแค็ตตาล็อกเท่าไหร่ และเป็นรุ่นอะไร?,general,0,False,False,,False,,,False,0,0,none,0,False,,,,False,,0,8,movex_chain_LF821_K1200,0.9337,-0.1836,821 Series,movex_chain_LF821_K1200|movex_chain_LF882_TAB_K750|movex_chain_LF821_K750|movex_chain_LF821_K1000|movex_chain_LF882_TAB_K1200,False,0,,564,"จากข้อมูลที่มีอยู่ โซ่สายพานที่รับแรงดึงสูงสุดคือ 3,830 N ครับ/ค่ะ

มีอยู่ 2 รุ่นที่รับแรงดึงได้เท่า",5533.9,False,False,False,True,False,False,False,
2026-03-02T16:31:02.094,sess_163102_5b2736,sess_163102_5b2736_t001,1,มีโซ่สายพานที่รับแรงดึงสูงสุดในแค็ตตาล็อกเท่าไหร่ และเป็นรุ่นอะไร?,False,,มีโซ่สายพานที่รับแรงดึงสูงสุดในแค็ตตาล็อกเท่าไหร่ และเป็นรุ่นอะไร?,general,0,False,False,,False,,,False,0,0,none,0,False,,,,False,,0,8,movex_chain_LF821_K1200,0.9337,-0.1836,821 Series,movex_chain_LF821_K1200|movex_chain_LF882_TAB_K750|movex_chain_LF821_K750|movex_chain_LF821_K1000|movex_chain_LF882_TAB_K1200,False,0,,240,"โซ่สายพานที่รับแรงดึงสูงสุดในแค็ตตาล็อกของเราคือ 3,830 N ครับ/ค่ะ และมีอยู่ 2 รุ่นด้วยกัน คือ:

*   ",4352.7,False,False,False,True,False,False,False,
2026-03-02T16:31:41.724,sess_163141_d4f4c1,sess_163141_d4f4c1_t001,1,ต้องการโซ่ที่น้ำหนักเบาที่สุดต่อเมตร เพื่อลด energy consumption ในไลน์ความเร็วช้าถึงปานกลาง,False,,ต้องการโซ่ที่น้ำหนักเบาที่สุดต่อเมตร เพื่อลด energy consumption ในไลน์ความเร็วช้าถึงปานกลาง,general,0,False,False,,False,,,False,0,0,none,0,False,,,,False,,0,9,movex_chain_LF821_K1200,1.0,1.2832,821 Series,movex_chain_LF821_K1200|movex_chain_LF821_K1000|movex_chain_LF821_K750|movex_chain_LF820_K325|movex_chain_LFN_83_MFM,True,0,,602,สวัสดีครับ เพื่อให้ Movex Assistant แนะนำโซ่ที่น้ำหนักเบาที่สุดต่อเมตร และเหมาะสมกับการใช้งานในไลน์ค,10108.4,False,False,False,True,False,False,False,
2026-03-02T16:32:13.071,sess_163141_d4f4c1,sess_163141_d4f4c1_t002,2,ขอตัวที่เบาที่สุดไม่สนความกว้าง,False,movex_chain_LF821_K1200 movex_chain_LF821_K1000 movex_chain_LF821_K750,movex_chain_LF821_K1200 movex_chain_LF821_K1000 movex_chain_LF821_K750 ขอตัวที่เบาที่สุดไม่สนความกว้าง,general,0,False,False,,False,,,False,0,0,none,0,False,,,,False,,0,6,movex_chain_LF821_K1200,1.0,-0.385,821 Series,movex_chain_LF821_K1200|movex_chain_LF880_TAB_K450|movex_chain_LF821_K750|movex_chain_LF821_K1000|movex_chain_LF882_TAB_K1000,False,0,,1199,จากข้อมูลที่มีอยู่ โซ่รุ่น **LF 880 TAB K450** เป็นรุ่นที่เบาที่สุดครับ มีน้ำหนักเพียง **1.09 กก./เม,11815.2,False,False,False,True,False,False,False,
